Most common words,B1 relative frequency,B2 relative frequency,Differences in relative frequency
works,0.0014044943820224719,0.0005186328332532193,0.0008858615487692525
think,0.001290616459155785,0.00040478660156348823,0.0008858298575922969
scutari,0.0,0.0008854706909201305,0.0008854706909201305
horn,0.0,0.0008728211096212716,0.0008728211096212716
mosques,0.0,0.0008728211096212716,0.0008728211096212716
trees,0.0,0.0008728211096212716,0.0008728211096212716
took,0.00022775584573337383,0.0011005135730007337,0.0008727577272673599
windows,0.0,0.0008601715283224126,0.0008601715283224126
turk,0.0,0.0008475219470235535,0.0008475219470235535
abd,0.0,0.0008348723657246945,0.0008348723657246945
garden,0.0002657151533556028,0.0011005135730007337,0.0008347984196451308
times,0.001290616459155785,0.0004680345080577833,0.0008225819510980018
peace,0.0010628606134224113,0.00024034204467832115,0.0008225185687440902
_see_,0.0,0.0008222227844258355,0.0008222227844258355
john,0.0011008199210446401,0.00029094036987375717,0.0008098795511708829
books,0.0009869419981779531,0.0001770941381840261,0.000809847859993927
blue,7.591861524445795e-05,0.0008854706909201305,0.0008095520756756726
colour,7.591861524445795e-05,0.0008854706909201305,0.0008095520756756726
open,0.00011387792286668691,0.0009234194348167076,0.0008095415119500207
seen,0.0005314303067112056,0.0013408556176790548,0.0008094253109678491
son,0.0014044943820224719,0.0006071799023452324,0.0007973144796772395
read,0.001176738536289098,0.0003794874389657702,0.0007972510973233279
hamid,0.0,0.0007969236218281175,0.0007969236218281175
behind,7.591861524445795e-05,0.0008728211096212716,0.0007969024943768136
still,0.0010628606134224113,0.0018594884509322742,0.000796627837509863
tell,0.0011008199210446401,0.0003162395324714752,0.000784580388573165
went,0.00011387792286668691,0.0008981202722189895,0.0007842423493523026
side,0.0003795930762222897,0.0011637614794950287,0.000784168403272739
well,0.0017840874582447615,0.0010119665039087205,0.000772120954336041
front,7.591861524445795e-05,0.0008475219470235535,0.0007716033317790956
character,0.0010249013058001822,0.00026564120727603916,0.000759260098524143
village,0.0,0.0007589748779315404,0.0007589748779315404
stone,3.795930762222897e-05,0.0007969236218281175,0.0007589643142058885
small,0.00045551169146674765,0.0012143598046904648,0.0007588481132237172
days,0.0007591861524445794,0.0015179497558630809,0.0007587636034185014
children,0.001252657151533556,0.0005059832519543603,0.0007466738995791957
place,0.0014804129972669298,0.0022263263085991855,0.0007459133113322557
greeks,0.0,0.0007336757153338225,0.0007336757153338225
empire,0.0003036744609778318,0.0010372656665064387,0.000733591205528607
