Most common words,Absolute frequency,Relative frequency
bound,19.0,0.0007212268448223505
g,19.0,0.0007212268448223505
strength,19.0,0.0007212268448223505
wrong,19.0,0.0007212268448223505
wants,19.0,0.0007212268448223505
two,19.0,0.0007212268448223505
put,19.0,0.0007212268448223505
6,19.0,0.0007212268448223505
license,18.0,0.0006832675372001215
written,18.0,0.0006832675372001215
able,18.0,0.0006832675372001215
though,18.0,0.0006832675372001215
might,18.0,0.0006832675372001215
common,18.0,0.0006832675372001215
secret,18.0,0.0006832675372001215
comes,18.0,0.0006832675372001215
thou,18.0,0.0006832675372001215
back,18.0,0.0006832675372001215
found,18.0,0.0006832675372001215
coming,18.0,0.0006832675372001215
end,18.0,0.0006832675372001215
money,18.0,0.0006832675372001215
agreement,18.0,0.0006832675372001215
series,17.0,0.0006453082295778925
hallowed,17.0,0.0006453082295778925
came,17.0,0.0006453082295778925
better,17.0,0.0006453082295778925
live,17.0,0.0006453082295778925
face,17.0,0.0006453082295778925
used,17.0,0.0006453082295778925
question,17.0,0.0006453082295778925
asked,17.0,0.0006453082295778925
another,17.0,0.0006453082295778925
shame,17.0,0.0006453082295778925
lost,17.0,0.0006453082295778925
hands,17.0,0.0006453082295778925
jones,16.0,0.0006073489219556636
united,16.0,0.0006073489219556636
mother,16.0,0.0006073489219556636
beautiful,16.0,0.0006073489219556636
living,16.0,0.0006073489219556636
public,16.0,0.0006073489219556636
deliver,16.0,0.0006073489219556636
sometimes,16.0,0.0006073489219556636
souls,16.0,0.0006073489219556636
stands,16.0,0.0006073489219556636
law,16.0,0.0006073489219556636
page,16.0,0.0006073489219556636
joy,16.0,0.0006073489219556636
hope,16.0,0.0006073489219556636
family,16.0,0.0006073489219556636
trust,16.0,0.0006073489219556636
others,16.0,0.0006073489219556636
pain,16.0,0.0006073489219556636
pages,16.0,0.0006073489219556636
past,16.0,0.0006073489219556636
part,16.0,0.0006073489219556636
pp,16.0,0.0006073489219556636
forth,15.0,0.0005693896143334346
familiar,15.0,0.0005693896143334346
business,15.0,0.0005693896143334346
really,15.0,0.0005693896143334346
set,15.0,0.0005693896143334346
holy,15.0,0.0005693896143334346
within,15.0,0.0005693896143334346
spiritual,15.0,0.0005693896143334346
whole,15.0,0.0005693896143334346
